,Evaluation_vector.csv,Graduate_vector.csv,Portrait_vector.csv,Scholarship_vector.csv,Tags_vector.csv,atten_vector_data.xlsx,dorm_vector_data.xlsx,run_vector_data.xlsx,student_behavior_vector.xlsx,体测数据_特征轨迹_vector.xlsx,体育课_特征向量_vector.xlsx,体能_vector_variable.csv,作业提交_vector_composite.csv,四六级_特征向量_vector.xlsx,图书馆_特征轨迹_vector.xlsx,基本信息_vector_variable.csv,学生签到_特征向量.csv,学科竞赛_vector_composite.csv,学籍异动_vector_composite.csv,成绩_vector_variable.csv,日常锻炼_vector.xlsx,社团活动_特征向量_vector.xlsx,线上学习_vector_composite.csv,讨论记录_特征向量_vector.xlsx,选课_vector_variable.csv,cluster
pjwrqxbj918,1.0703586859417298,0.12433988539585653,-0.8250303858091813,-1.040367023705426,0.1420197817053482,-0.12252316215187661,-0.039726706583261565,-0.7825501463844091,1.8138244401198766,1.3788514403132572,-0.12756187621967957,-1.6353127517928796,0.7964236701192101,0.40046805071826047,-0.47939191112537816,2.124095149417186,-0.8907302392559615,-0.613131532665435,-0.023112033126248908,-0.9380561297120079,0.7072829851498408,0.30482502619819074,1.1951922961488595,0.45266704840080474,-0.47247484663919714,3
pjwrqxbj919,1.3636124596767647,0.13989481003446289,-1.180032399582735,-1.040367023705426,-1.963858522909727,5.569682940792584,-0.039726706583261565,-1.848223697378444,-0.4829773444832094,1.8264499051289214,0.8840616512667288,-2.7853773401187825,0.9232479651877592,0.18094541986971688,-0.47939191112537816,1.8659302710218406,-0.22705408773808658,-0.613131532665435,-0.02237270211186929,-2.264574648861462,0.9888343839437879,-2.031016472242844,1.1951922961488595,0.45266704840080474,-0.37854242668157195,3
pjwrqxbj920,0.9603885207910916,0.12822861655550746,-0.7198446039503505,-1.040367023705426,0.1420197817053482,-0.12252316215187661,-0.039726706583261565,0.6222013526531821,-0.10017704704936173,0.036056045866265055,-0.8875899150048047,0.6648164248589261,-0.3977084849083411,0.31314724375113223,-0.47939191112537816,-0.5608195858944052,0.8557859489489726,-0.613131532665435,-0.023112033126248908,-0.009942431883164734,-0.2947087576168525,0.30482502619819074,1.1951922961488595,-2.2617717017671426,-0.6338963032085468,3
pjwrqxbj923,-0.06599968728153022,0.12822861655550746,-0.8831017028770775,-1.040367023705426,0.1420197817053482,-0.12252316215187661,-0.039726706583261565,-0.2981530777507572,-0.4829773444832094,0.9312529754975931,0.3441796650952257,0.08978413069597467,-0.7391940375685144,0.4851598441422927,2.1401204461140533,1.5561324169474255,0.08731882613880186,0.681466483740603,-0.01944979135982493,0.13337770399017243,0.5665072857528678,0.30482502619819074,1.621818229406782,0.39232420446485555,0.37065490862092293,3
pjwrqxbj924,-0.13931313071528906,0.12822861655550746,-0.7439496789596659,-0.03600858586937225,-1.963858522909727,-0.12252316215187661,-0.039726706583261565,0.6222013526531821,-0.4829773444832094,0.9312529754975931,-1.2545000026941753,0.08978413069597467,0.9536852827863623,0.3529580202608765,-0.47939191112537816,2.124095149417186,0.15717947366699908,-0.613131532665435,-0.023112033126248908,0.16832904669323737,-0.6300861591214069,0.3617967700626066,1.1951922961488595,0.3319813605289063,-0.4299955159630522,3
pjwrqxbj925,-1.2390147822216697,0.13989481003446289,-0.0383283923233431,1.3031359979120332,0.8439792165770399,-0.12252316215187661,-0.039726706583261565,1.0097190075601035,-0.29157719576628566,-1.306739348580727,0.8421290698165145,0.6648164248589261,-0.8856209993822879,0.3422541794068414,-0.47939191112537816,-0.5608195858944052,0.5414130350720847,1.8583737713824557,-0.023112033126248908,1.0856134583458916,-0.44376538050776565,0.9884859525711768,1.1951922961488595,0.5731054295352613,-0.5228128534904283,3
pjwrqxbj926,0.08062719958598707,0.12822861655550746,-0.40976568451233913,-1.040367023705426,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,0.6222013526531821,-0.29157719576628566,0.036056045866265055,-0.20618546643883043,0.6648164248589261,-0.3977084849083411,0.3369961523206493,-0.47939191112537816,-0.612452561573474,1.4146711291745517,-0.613131532665435,-0.023112033126248908,0.008189590690312599,-0.1456521347259394,0.41876851392702186,1.1951922961488595,0.3018099385609317,-0.5855215802055217,3
pjwrqxbj929,-0.5058803478840826,0.12822861655550746,-0.2497956412687007,-0.03600858586937225,1.5459386514487317,-0.12252316215187661,-0.039726706583261565,0.4284425251997209,-1.4399780880678288,0.036056045866265055,0.055893167625006006,0.6648164248589261,0.5486709032917764,0.7337894106465453,-0.47939191112537816,1.4012334899102181,0.08731882613880186,-0.613131532665435,-0.022811564265550085,-0.3455090414279312,-1.010180547493235,0.30482502619819074,1.1951922961488595,0.6636196954391852,0.6872801063954683,3
pjwrqxbj932,-0.28594001758280657,0.1321173477151597,-0.05914641164957002,-0.03600858586937225,0.1420197817053482,-0.12252316215187661,-0.039726706583261565,0.13780428401952965,-0.29157719576628566,-0.41154241894939897,-1.07104495884949,0.6648164248589261,-0.7025340896434819,0.4691979762020646,-0.47939191112537816,-0.5608195858944052,0.8907162727130715,-0.613131532665435,-0.023112033126248908,0.656449512786319,0.0034044881649737137,0.41876851392702186,1.1951922961488595,0.24146709462498248,-0.4887471091648698,3
pjwrqxbj935,0.4471944167547805,0.12822861655550746,0.7067375625100413,-1.040367023705426,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,0.04092487029279907,0.2826232503844861,0.9312529754975931,-0.861382051598421,-1.6353127517928796,-0.42175826206670786,0.49830491185777376,-0.47939191112537816,-0.612452561573474,0.47155238754388695,-0.613131532665435,-0.023112033126248908,0.22959112948224733,0.0034044881649737137,0.30482502619819074,1.1951922961488595,0.513009892336754,-0.45230102632536223,3
